Class+subject+stream,CHAPTER CODE,class+subject+stream+chapter,NULL,NULL
C10MtVT,CAC,C10MtVTCAC,NULL,NULL
C10MtVT,BOR,C10MtVTBOR,NULL,NULL
C10MtVT,IMC,C10MtVTIMC,NULL,NULL
C10MtVT,LSW,C10MtVTLSW,NULL,NULL
C10MtVT,ANR,C10MtVTANR,NULL,NULL
C10MtVT,ANA,C10MtVTANA,NULL,NULL
C10MtVT,COD,C10MtVTCOD,NULL,NULL
C10MtNT,CLS,C10MtNTCLS,NULL,NULL
C10MtNT,SER,C10MtNTSER,NULL,NULL
C10MtNT,PCD,C10MtNTPCD,NULL,NULL
C10MtNT,WAI,C10MtNTWAI,NULL,NULL
C10MtNT,MII,C10MtNTMII,NULL,NULL
C10MtNT,FPC,C10MtNTFPC,NULL,NULL
C10MtNT,TPF,C10MtNTTPF,NULL,NULL
C10MtNT,ANA,C10MtNTANA,NULL,NULL
C10MtNT,ATR,C10MtNTATR,NULL,NULL
C10MtNT,EBF,C10MtNTEBF,NULL,NULL
C10MtNT,ICF,C10MtNTICF,NULL,NULL
C10MtNT,DFS,C10MtNTDFS,NULL,NULL
C10MtNT,FFA,C10MtNTFFA,NULL,NULL
C10SSHS,AIN,C10SSHSAIN,NULL,NULL
C10SSHS,MIN,C10SSHSMIN,NULL,NULL
C10SSHS,MON,C10SSHSMON,NULL,NULL
C10SSHS,WHI,C10SSHSWHI,NULL,NULL
C10SSGE,GGE,C10SSGEGGE,NULL,NULL
C10SSGE,IGE,C10SSGEIGE,NULL,NULL
C10SSGE,WGE,C10SSGEWGE,NULL,NULL
C10SSEC,IEC,C10SSECIEC,NULL,NULL
C10SSPS,ICD,C10SSPSICD,NULL,NULL
C10SSPS,GCS,C10SSPSGCS,NULL,NULL
C10SSPS,IJU,C10SSPSIJU,NULL,NULL
C10SSPS,PRP,C10SSPSPRP,NULL,NULL
C06ChDC,FTF,C06ChDCFTF,NULL,NULL
C06ChIC,MSO,C06ChICMSO,NULL,NULL
C06ChIC,SOS,C06ChICSOS,NULL,NULL
C06ChEC,CAS,C06ChECCAS,NULL,NULL
C06ChEC,HTO,C06ChECHTO,NULL,NULL
C06ChEC,AAS,C06ChECAAS,NULL,NULL
C06ChEC,GAR,C06ChECGAR,NULL,NULL
C07ChDC,FAF,C07ChDCFAF,NULL,NULL
C07ChPC,ABS,C07ChPCABS,NULL,NULL
C07ChIC,PCC,C07ChICPCC,NULL,NULL
C07ChEC,WSC,C07ChECWSC,NULL,NULL
C07ChEC,SOL,C07ChECSOL,NULL,NULL
C07ChEC,WPR,C07ChECWPR,NULL,NULL
C07ChEC,FOL,C07ChECFOL,NULL,NULL
C07ChEC,WWS,C07ChECWWS,NULL,NULL
C07ChEC,WWS,C07ChECWWS,NULL,NULL
C08ChDC,SFP,C08ChDCSFP,NULL,NULL
C08ChIC,MNM,C08ChICMNM,NULL,NULL
C08ChEC,CAP,C08ChECCAP,NULL,NULL
C08ChDC,CAF,C08ChDCCAF,NULL,NULL
C08ChEC,PAW,C08ChECPAW,NULL,NULL
C09ChPC,MOS,C09ChPCMOS,NULL,NULL
C09ChPC,MAP,C09ChPCMAP,NULL,NULL
C09ChPC,AAM,C09ChPCAAM,NULL,NULL
C09ChPC,SOA,C09ChPCSOA,NULL,NULL
C09ChEC,NAR,C09ChECNAR,NULL,NULL
C10ChPC,CRE,C10ChPCCRE,NULL,NULL
C10ChPC,ASB,C10ChPCASB,NULL,NULL
C10ChIC,MAN,C10ChICMAN,NULL,NULL
C10ChIC,CAC,C10ChICCAC,NULL,NULL
C10ChIC,PCE,C10ChICPCE,NULL,NULL
C10ChEC,OEV,C10ChECOEV,NULL,NULL
C10ChEC,MNR,C10ChECMNR,NULL,NULL
